id,followers_count,friends_count,screen_name
1319922630,3,25,iAhmd88
398103558,11,59,iamtang555
794705126254645248,1,30,morsenasouka
794705156730392576,27,214,OmarNadi6
794704400015036416,16,104,treftic
703441110656356355,1,23,adiiraw52510991
794698594402107392,4,95,ibrahim92812
791893086309904384,1221,483,xxxdavey
794704633159618560,5,83,larossi_amira
794704291713851392,20,135,Aashiqk52598089
3265647151,12,131,bizkit_diego
794703788367937537,5,98,dariush3088
736116795678072832,17,75,ahmed2000hemza
794687670710661120,6,58,fed_b1
4078960594,171,608,ManhasRustam
1702871082,40,223,tawheed46312300
741644206221856768,1176,4838,rokshanarahman4
794701808920731649,4,84,sm210679
770626915,99501,97607,MaxItMagazine
794702757877911556,12,183,masonliverpool2
794702601166135297,7,105,CarlosSanchezYL
794702291156733952,31,122,usovotacaolg
794701694244454400,9,4,CD_ofthe_Galaxy
742747116544614400,147,508,rolo16676
1953037712,5,174,AndrewMock91
794115196474232832,10,109,lester080790
791033804458692612,7,136,pelle_koko
794701327876194304,1,60,Benazzouzdris16
794701686677729280,35,147,Snipezz_BaB
794701973157216256,0,21,kreo1236
793963101502771200,1,26,OIsaacAkins2
714471041217613825,15,131,Rajendra_physic
777747264945004544,95,769,NiroulaNoyam
794695457964322816,4,59,DavidNg071200
572592864,8,36,bwembiha
794698585463889921,22,124,DfsMonsterSean
794698352709500928,2,24,taraasiobhan
723057732320780289,326,1769,kahiranisafira9
794698280684978176,3,99,mouniya_b
794690049929576448,26,208,jamie_mcmahon29
794696758077095937,3,19,npvds
790001203816128513,21,79,ItzMuradHD
794522727596036098,7,214,rochikim_a
792134176510205952,10,178,kleythdebarajas
794697713300357120,27,174,4600517f1de0475
794693856658944000,9,245,lucasneto04
794697633545719808,3,60,sade_mckinley
400836214,10,85,eliassantana9
748654957474217984,4,69,OtmanTng
177306524,196,1909,fantoma1
2579509824,14,132,alexsoccer16
3997973307,7,119,york2507
788114074156539904,71,183,LewisMLomax
711981096272060416,6,50,c_wilde98
2803576283,1,24,SarabiaToshiba
794696050602901504,1,74,YousraAky
794695428868599809,5,61,AMchowABDOmoaad
794694260423622656,44,131,MohsinTaibi
355011256,0,634,gurajosia
794681508183281664,13,193,PedroAMarchnC2
794694741224988672,8,108,Yasmeen40595715
794688257711894528,5,56,derickwambura
728947834926575617,12,13,Sam_M_96
794652385264148480,23,197,Ekanemdasilver
794693841664282624,5,165,Renadaws
727267841838317568,428,1001,sofi_aball
794693521147994112,2,70,016f36b0579b4d1
794694142538420226,7,97,MMustafa6543
794693566283022336,11,77,jamiemarlowe03
794693900132818944,3,57,vichoelpri
794691529852014592,2,90,rhbech2017
794692829767409664,7,112,AchuAchu21
794693144285736960,4,42,ninwbrawn
3313847757,21,82,KimSkotnes
794693244248539136,1,21,fhjdferjhfd
794678351281717248,3,26,RedArro56097425
794692074352340992,17,92,jack_brimble
3434636361,18,163,Berna_13s
794692326820089856,2,71,JesusJa48737462
793527608579334144,1,8,idoc112
